;Var.1;LastN;Vorname;Titel;Funktion;Fakultät;Lehrveranstaltungen;Var.8;name_ganz
424;NA;Jonas;Klaus;Dr. rer. soc., Dipl.-Psych., Dekan der Philosophischen Fak.;Ord. Professor für Sozialpsychologie;PHF;Link;NA;Jonas, Klaus
425;NA;Jositsch;Daniel;Dr. iur.;Ord. Professor für Strafrecht, Strafprozessrecht und strafrechtliche Hilfswissenschaften;RWF;Link;NA;Jositsch, Daniel
426;NA;Jucker;Andreas H.;Dr. phil.;Ord. Professor für Englische Sprachwissenschaft;PHF;Link;NA;Jucker, Andreas H.
427;NA;Just;Natascha Katharina;Dr.;Ord. Professorin für Publizistik- und Kommunikationswissenschaft mit dem Schwerpunkt Medienpolitik / Media und Internet Governance;PHF;Link;NA;Just, Natascha Katharina
428;NA;Kabatek;Johannes;Dr.;Ord. Professor für Romanische Philologie mit besonderer Berücksichtigung der iberoromanischen Sprachwissenschaft;PHF;Link;NA;Kabatek, Johannes
429;NA;Kaiser;Ulrich;Dr. rer. pol.;Ord. Professor für Entrepreneurship;WWF;Link;NA;Kaiser, Ulrich
430;NA;Kaufmann;Philipp;Dr. med.;Ord. Professor für Nuklearmedizin;MEF;Link;NA;Kaufmann, Philipp
431;NA;Kaufmann;Christine;Dr. iur.;Ord. Professorin für Staats-, Verwaltungs-, Völker- und Europarecht;RWF;Link;NA;Kaufmann, Christine
432;NA;Keil;Thomas;Dr.;Ord. Professor für International Management;WWF;Link;NA;Keil, Thomas
433;NA;Keller;Lukas;Dr.;Ord. Professor für Evolutionsbiologie;MNF;Link;NA;Keller, Lukas
434;NA;Keller;Helen;Dr. iur.;Ord. Professorin für Öffentliches Recht, Europarecht und Völkerrecht;RWF;Link;NA;Keller, Helen
435;NA;Keller;Beat;Dr. phil.;Ord. Professor für Pflanzenbiologie, insbesondere Molekularbiologie der Pflanzen;MNF;Link;NA;Keller, Beat
436;NA;Kiener;Regina;Dr.;Ord. Professorin für Öffentliches Recht;RWF;Link;NA;Kiener, Regina
